age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income_>50K
37,Private,224541,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
57,,202903,7th-8th,4,Married-civ-spouse,,Wife,White,Female,1173,0,45,Puerto-Rico,0
50,Federal-gov,191013,HS-grad,9,Separated,Sales,Other-relative,Amer-Indian-Eskimo,Female,0,0,40,United-States,0
37,Private,290609,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,0
45,Private,175262,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,0,0,40,India,0
24,Private,376474,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,United-States,0
20,Private,353696,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,28,United-States,0
42,,148951,Bachelors,13,Divorced,,Not-in-family,White,Female,0,0,12,Ecuador,0
19,Private,318822,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
38,Federal-gov,125933,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Iran,1
24,Private,211968,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,24,United-States,0
39,Private,142707,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
41,Private,47902,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,United-States,1
51,Private,108914,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
22,Private,97212,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,15,United-States,0
21,Private,131620,HS-grad,9,Married-spouse-absent,Machine-op-inspct,Own-child,White,Female,0,0,40,Dominican-Republic,0
53,Private,185407,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,1
31,Self-emp-not-inc,109195,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,United-States,0
50,Private,195844,Doctorate,16,Never-married,Exec-managerial,Not-in-family,White,Male,13550,0,50,United-States,1
44,Private,120057,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,4386,0,45,United-States,1
64,Self-emp-not-inc,150121,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,25,United-States,1
32,Private,207685,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Wife,Black,Female,3908,0,40,United-States,0
45,Local-gov,148254,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,35,United-States,0
44,Private,124747,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,3103,0,40,United-States,1
41,Private,179533,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,35,United-States,0
22,Private,198244,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,39,United-States,0
45,Self-emp-not-inc,102771,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,1
63,Local-gov,241404,Some-college,10,Divorced,Protective-serv,Not-in-family,White,Female,0,0,35,United-States,0
36,Private,203482,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
35,,317780,Some-college,10,Never-married,,Unmarried,Black,Female,0,0,40,United-States,0
25,Private,344804,5th-6th,3,Married-spouse-absent,Handlers-cleaners,Other-relative,White,Male,0,0,40,Mexico,0
30,Private,36069,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
26,Private,168236,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
48,Private,324655,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
50,Self-emp-not-inc,165001,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,80,United-States,1
17,Private,316929,12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,0
27,Private,116358,Some-college,10,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,0,1980,40,Philippines,0
39,Local-gov,423605,12th,8,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1848,40,Nicaragua,1
22,Private,214399,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,30,United-States,0
31,Private,61559,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,50,United-States,0
48,Local-gov,27802,Masters,14,Separated,Prof-specialty,Not-in-family,White,Male,0,1876,50,United-States,0
38,Private,154410,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40,Poland,0
35,Private,193094,HS-grad,9,Never-married,Craft-repair,Own-child,White,Female,0,0,48,United-States,0
56,Private,178033,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,Male,4416,0,60,United-States,0
53,Self-emp-not-inc,159876,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,3103,0,72,United-States,0
44,Private,85440,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,0
18,Private,156764,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,0
40,Private,190507,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,1
34,Private,83800,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,30,United-States,0
27,Private,604045,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,0
27,Private,209085,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,44,United-States,1
30,Private,124020,HS-grad,9,Married-spouse-absent,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
41,State-gov,342834,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
29,Private,150861,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,Japan,0
33,Private,133503,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,2635,0,16,United-States,0
21,Private,188073,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Female,0,0,40,United-States,0
35,Private,385412,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
20,Private,188409,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,60,United-States,0
63,Private,253556,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,0
17,Private,41865,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,5,United-States,0
54,,133963,HS-grad,9,Widowed,,Own-child,White,Female,0,0,40,United-States,0
56,Private,271795,11th,7,Divorced,Craft-repair,Not-in-family,White,Male,0,0,49,United-States,0
40,Self-emp-not-inc,167678,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Dominican-Republic,1
31,Private,263561,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,45,United-States,1
45,Private,256367,12th,8,Divorced,Farming-fishing,Not-in-family,Black,Male,0,0,40,United-States,0
31,Private,66815,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,0
43,Private,168071,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,44,United-States,0
44,Self-emp-inc,320984,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,5178,0,60,United-States,1
50,Private,196193,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,,0
42,Private,234633,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,47,United-States,0
45,Private,81132,HS-grad,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,0
45,Private,33300,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,1977,50,United-States,1
59,Private,205759,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,0
51,Private,141645,Some-college,10,Separated,Exec-managerial,Not-in-family,Black,Female,0,0,40,United-States,0
37,Private,177420,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,1
42,Private,178134,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,0
63,,106648,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,25,United-States,0
49,Local-gov,123088,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,46,United-States,0
41,Private,384508,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
58,Private,119386,Assoc-voc,11,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,60,United-States,0
38,Local-gov,173804,Bachelors,13,Divorced,Prof-specialty,Own-child,White,Female,0,0,38,United-States,0
66,Self-emp-not-inc,81413,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,30,United-States,0
24,Private,215890,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
35,Self-emp-not-inc,176101,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,80,United-States,1
28,Local-gov,100270,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
23,Private,350181,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,0
51,Private,256051,11th,7,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,1628,40,United-States,0
30,Private,232356,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
26,Private,106705,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,28,United-States,0
41,Private,115411,Some-college,10,Divorced,Sales,Own-child,White,Male,2174,0,45,United-States,0
41,Federal-gov,83411,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
27,Private,189462,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1504,45,United-States,0
27,Private,201872,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
